eagle/eagles,bird,en/es
emu/emus,bird,en
rooster/roosters,bird,fr
hawk/hawks,bird,id
godwit/godwits,bird,nl
thrush/thrushes,bird,pt
bison/bisons,animal,en
bulldog/bulldogs,animal,en
kangaroo/kangaroos,animal,en
jaguar/jaguars,animal,es
bull/bulls,animal,es
komodo/komodos,animal,id
lion/lions,animal,nl
wolf/wolves,animal,pt
rose/roses,flower,en
wattle/wattles,flower,en
dahlia/dahlias,flower,es
carnation/carnations,flower,es/pt
iris/irises,flower,fr
melati/melatis,flower,id
hibiscus/hibiscuses,flower,ms
tulip/tulips,flower,nl
hamburger/hamburgers,food,en
pudding/puddings,food,en
pavlova/pavlovas,food,en
taco/tacos,food,es
tortilla/tortillas,food,es
crepe/crepes/crêpe/crêpes,food,fr
soto/sotos,food,id
nasi/nasis,food,ms
stamppot/stamppots,food,nl
cozido/cozidos,food,pt
feijoada/feijoadas,food,pt
bourbon/bourbons,liquor,en
gin/gins,liquor,en
bundaberg,liquor,en
tequila/tequilas,liquor,es
sherry/sherrys,liquor,es
cognac/cognacs,liquor,fr
arak/araks,liquor,id
tuak/tuaks,liquor,ms
jenever/jenevers,liquor,nl
ginjinha/ginjinhas,liquor,pt
cachaca/cachacas/cachaça/cachaças,liquor,pt
avocado/avocados,fruit,es
grape/grapes,fruit,es
nectarine/nectarines,fruit,fr
papaya/papayas,fruit,ms
baseball/baseballs,sport,en
cricket,sport,en
charreada/charrería,sport,es
football/footballs,sport,es
pencak,sport,id
sepak,sport,ms
capoeira,sport,pt
washington,city,en
london,city,en
canberra,city,en
mexico,city,es
madrid,city,es
paris,city,fr
jakarta,city,id
kuala lumpur,city,ms
amsterdam,city,nl
lisbon,city,pt
brasilia/brasília,city,pt
belgium,country,fr/nl
burundi,country,fr
cameroon,country,fr
canada,country,fr
chad,country,fr
central african republic,country,fr
comoros,country,fr
djibouti,country,fr
equatorial guinea,country,fr
haiti,country,fr
luxembourg,country,fr
madagascar,country,fr
rwanda,country,fr
seychelles,country,fr
switzerland,country,fr
vanuatu,country,fr
benin,country,fr
burkina faso,country,fr
congo,country,fr
dr congo,country,fr
ivory coast,country,fr
france,country,fr
gabon,country,fr
guinea,country,fr
mali,country,fr
monaco,country,fr
niger,country,fr
senegal,country,fr
togo,country,fr
netherlands,country,nl
suriname,country,nl
brazil,country,pt
angola,country,pt
mozambique,country,pt
portugal,country,pt
guinea-bissau,country,pt
east timor,country,pt
equatorial guinea,country,pt
macau,country,pt
cape verde,country,pt
são tomé and príncipe,country,pt
mexico,country,es
colombia,country,es
spain,country,es
argentina,country,es
peru,country,es
venezuela,country,es
chile,country,es
guatemala,country,es
ecuador,country,es
bolivia,country,es
cuba,country,es
dominican republic,country,es
honduras,country,es
paraguay,country,es
el salvador,country,es
nicaragua,country,es
costa rica,country,es
panama,country,es
uruguay,country,es
equatorial guinea,country,es
australia,country,en
new zealand,country,en
united states,country,en
united kingdom,country,en
antigua and barbuda,country,en
bahamas,country,en
barbados,country,en
belize,country,en
botswana,country,en
brunei,country,en/ms
canada,country,en
dominica,country,en
fiji,country,en
gambia,country,en
