word,language,region,source,rating,latin
freedom,en,,Understanding Cultures Through Their Key Words,5,
justice,en,,Understanding Cultures Through Their Key Words,5,
truth,en,,Understanding Cultures Through Their Key Words,5,
saudade,pt,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
confianza,es,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
calor humano,es,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
gezellig,nl,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
sabar,ms,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
setia,ms,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
malu,ms,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
hati,ms,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
hati,id,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
méfiance,fr,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
s'engager,fr,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
âme,fr,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
fair/unfair/fairness,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
reasonable/unreasonable,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
private/privacy,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
rude/rudeness,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
nice,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
god,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
devil/devils,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
evidence,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
commonsense,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
happy/happiness/happiest,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
heart/hearts,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
mind,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
soul,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
spirit,en,,"Words as Carriers of Cultural Meaning (book, section 21.2.1)",,
gezellig,nl,,Gezellig: A Dutch cultural keyword unpacked,4,
bangga,ms,,"The "Social Emotions" of Malay (Bahasa Melayu)",,
