lemma,classification
eat,nl
money,nl
beautiful,nl
pain,nl
warm,nl
people,zh
food,en
experiment,zh
sea,nl
vacation,nl
clothe,zh
school,nl
large,nl
fun,nl
sun,nl
sad,en
color,es
silver,es
joy,es
sadness,es
animal,es
dangerous,nl
journey,es
love,es
heat,es
thick,nl
big,zh
physical,zh
dark,nl
national,zh
force,es
clothing,es
sport,nl
water,nl
hospital,zh
church,nl
war,nl
field,es
many,nl
life,es
fast,es
around,nl
party,en
movement,zh
game,zh
phone,zh
slim,nl
shop,nl
car,en
music,nl
female,zh
bird,en
disease,es
small,nl
health,es
good,en
happy,en
summer,nl
star,zh
path,es
rest,nl
army,nl
sex,en
child,nl
film,nl
nature,nl
peace,es
annoying,nl
disgusting,zh
teacher,zh
thesis,zh
sweet,es
stench,nl
old,en
like,zh
soft,nl
place,es
bad,es
chemistry,zh
round,en
happiness,es
scare,zh
suffer,zh
smart,en
know,es
woman,nl
ugly,es
novel,zh
yellow,nl
cold,es
man,nl
need,nl
ocean,en
red,nl
only,nl
garden,nl
union,es
hurt,en
negative,nl
stop,en
road,nl
walk,nl
science,en
kid,zh
paper,en
wrong,en
bike,nl
body,es
difficulty,zh
smell,es
book,en
computer,zh
care,es
street,es
green,nl
talk,en
dog,en
security,es
fail,zh
political,zh
police,nl
study,zh
tourism,zh
mean,en
fear,es
sick,en
house,nl
bang,nl
doctor,zh
comfortable,zh
family,es
company,zh
elderly,zh
universe,zh
letter,es
intelligence,es
together,nl
darkness,zh
read,nl
down,en
nice,en
tree,en
beach,es
research,nl
tire,nl
king,nl
successful,zh
terror,zh
horse,en
fire,en
free,es
arm,nl
crime,zh
work,es
all,es
fish,en
clean,en
social,zh
boss,nl
son,es
danger,zh
stress,nl
football,es
mind,en
lover,zh
hate,zh
personality,zh
explosion,zh
complicated,zh
earth,es
law,zh
blood,nl
honest,nl
sky,zh
face,en
ball,en
rare,es
show,en
apple,zh
wet,nl
expensive,zh
circular,zh
hunger,es
important,nl
freedom,es
religious,zh
order,es
positive,nl
amount,es
ship,en
white,nl
black,nl
childhood,es
run,en
pressure,nl
couple,es
friend,es
substance,nl
cooking,nl
arithmetic,nl
girl,en
one,en
brown,nl
home,en
leadership,zh
learn,nl
fruit,zh
hard,en
loud,en
opportunity,es
smile,en
noise,nl
top,en
le,nl
air,es
state,es
dirty,nl
ice,nl
winter,nl
fat,en
final,es
funny,en
advertising,nl
year,es
basketball,zh
cut,en
grey,nl
discomfort,es
head,en
see,es
respect,es
young,nl
rich,nl
boundary,es
store,en
sleep,en
group,en
time,zh
art,es
diet,zh
glass,zh
communication,es
cheerful,nl
student,zh
land,zh
boat,nl
psychological,zh
eye,zh
building,en
nervous,zh
laugh,nl
youth,nl
world,zh
bright,en
heavy,nl
rock,en
dream,es
test,en
loyalty,nl
cuisine,zh
number,zh
chief,es
bed,nl
wedding,en
responsibility,zh
cat,en
activity,zh
train,en
word,es
effort,zh
pant,nl
cleaning,es
forever,en
forest,nl
thought,zh
catastrophe,zh
weapon,es
feel,nl
bug,en
government,en
economy,zh
method,zh
violence,nl
story,en
value,es
punishment,nl
sharp,nl
light,es
share,es
friendship,es
biology,zh
orange,en
organization,zh
safe,zh
serious,zh
hit,en
back,en
change,en
open,en
box,en
education,es
environment,zh
evil,en
tribunal,zh
blue,en
muscular,zh
prison,nl
think,es
handsome,zh
writing,en
baby,en
poor,en
drink,en
mysterious,zh
journal,nl
skin,en
two,nl
necessary,es
boring,es
error,nl
desire,es
farm,en
affection,es
information,es
unhealthy,nl
beauty,es
ideal,zh
history,es
speak,es
injure,zh
arena,es
classmate,es
form,es
diploma,nl
fall,en
development,zh
hiking,nl
pay,nl
race,en
follow,es
far,nl
queen,en
news,zh
swimming,nl
technology,zh
fight,en
discussion,es
relationship,zh
day,en
instrument,zh
less,nl
marriage,zh
princess,zh
stupid,en
moment,es
cheese,nl
fake,en
new,nl
merchandise,zh
tear,zh
pie,en
country,nl
past,es
men,es
soup,nl
strict,nl
mine,en
actor,zh
sign,en
bread,nl
result,zh
quality,zh
dress,en
pull,es
kill,en
gold,en
parent,zh
strong,nl
brain,en
present,en
lose,es
door,nl
object,es
post,nl
rain,nl
worker,zh
power,es
snow,nl
protection,zh
closet,nl
conference,zh
goat,zh
exchange,zh
purchase,es
brightness,es
genre,es
vegetable,zh
cinema,es
clear,en
medicine,en
necessity,es
response,es
male,zh
graduate,zh
belly,nl
hole,en
accident,nl
skirt,zh
route,es
aroma,es
watermelon,zh
birthday,es
theft,es
cure,es
confidence,es
coffee,nl
alcohol,es
lonely,zh
rejection,zh
tool,es
personal,nl
memory,es
location,es
trip,en
article,zh
teen,zh
dancing,nl
crowd,zh
confinement,es
soil,zh
long,nl
argument,en
natural,zh
elegant,zh
camera,en
end,en
imagination,es
crowded,zh
emperor,zh
election,es
photo,nl
doubt,es
career,es
energy,es
problem,es
human,nl
exercise,en
leaf,es
enjoy,nl
culture,es
direction,zh
internet,nl
rifle,nl
knowledge,zh
try,en
listen,nl
shopping,zh
image,es
travel,en
attention,es
current,es
beer,nl
geography,zh
plant,es
incense,zh
shirt,en
earthquake,zh
cook,en
tea,en
penalty,es
hat,en
character,zh
damp,zh
morality,zh
drama,zh
fondue,zh
weight,en
spirit,zh
shower,zh
embarrassing,zh
transparent,zh
grandma,nl
tiger,zh
infinite,es
justice,es
wife,en
mouth,es
politician,es
touch,en
solidarity,es
help,en
leader,en
vision,es
write,nl
murder,nl
ruler,en
flame,zh
scissor,zh
cool,en
dance,en
crucifix,zh
poverty,es
nurse,zh
equal,nl
geometry,es
financial,zh
crazy,en
literature,zh
file,zh
useful,es
public,es
exaggerated,nl
different,en
pornography,zh
competitive,zh
fresco,es
friendly,nl
despair,zh
guide,es
drive,nl
design,zh
dinner,en
thing,es
emotion,zh
separate,es
village,es
wash,nl
construction,es
panda,zh
false,nl
baseball,en
knight,nl
break,es
court,nl
treatment,zh
account,es
holiday,zh
newspaper,en
cash,en
resource,zh
bless,nl
transit,es
surrender,nl
blanket,zh
teeth,en
mission,zh
space,en
landscape,es
advance,es
acid,zh
boyfriend,zh
enthusiasm,zh
seafood,zh
wage,zh
faculty,es
bubble,zh
military,en
university,zh
mixture,es
depressed,zh
fitness,zh
class,en
line,en
victory,zh
barbecue,zh
same,en
idea,es
can,en
classroom,zh
driver,zh
guilt,nl
electric,zh
solution,nl
fashion,es
management,zh
pen,en
daily,es
always,es
horizontal,zh
romantic,zh
hypocrisy,zh
spicy,zh
egg,zh
pink,en
heal,es
bill,en
farmer,zh
comfort,zh
magic,en
search,nl
option,es
metal,es
self,en
vehicle,es
singer,zh
mail,en
tension,nl
encounter,es
golden,zh
collaboration,zh
act,es
map,nl
parade,zh
purple,en
trust,en
speech,en
disorder,es
border,nl
hero,zh
humidity,es
measure,es
square,es
above,es
salt,nl
cafe,nl
dinosaur,zh
action,es
hope,zh
rabbit,zh
interesting,zh
angry,nl
allergy,zh
night,es
