lemma,classification
honey,es
flower,nl
field,es
queen,en
ugly,es
bad,es
annoying,nl
black,nl
yellow,nl
insect,en
sting,en
flight,en
wasp,nl
sheep,en
thousand,zh
sweet,es
stripe,nl
buzz,en
bee,zh
nest,nl
animal,es
group,en
pollen,zh
wing,es
work,es
indispensable,es
nature,nl
fear,es
bear,en
tree,en
spring,zh
life,es
team,es
mind,en
yoga,zh
construction,es
rugby,zh
gate,es
open,en
chess,es
championship,es
about,en
opera,en
mental,en
envelope,zh
inauguration,zh
show,en
opportunity,es
change,en
space,en
new,nl
window,en
path,es
house,nl
lock,en
idea,es
sentimental,es
think,es
door,nl
local,es
slow,nl
free,es
understand,es
expand,es
separation,es
shop,nl
cavity,zh
future,es
science,en
clarity,zh
friendly,nl
flour,es
signal,es
ceremony,zh
necessity,es
intelligence,es
university,zh
lawyer,zh
book,en
important,nl
boring,es
judge,en
court,nl
read,nl
culture,es
scholar,zh
reader,es
letter,es
word,es
professional,es
doctor,zh
library,zh
scholarship,zh
tribunal,zh
literature,zh
worship,en
defender,es
study,zh
literate,en
knowledge,zh
humanity,zh
language,zh
graduate,zh
justice,es
master,es
prosecutor,es
philosopher,nl
expert,zh
formality,es
jury,en
order,es
academic,zh
arm,nl
love,es
support,es
affection,es
catch,en
heat,es
contain,es
want,en
accompany,es
share,es
care,es
son,es
company,zh
joy,es
sex,en
man,nl
feeling,zh
warm,nl
friendship,es
mother,nl
random,es
force,es
friend,es
hug,es
penis,en
kiss,en
confidence,es
gesture,es
container,es
family,es
two,nl
tight,en
include,en
intestine,zh
suck,es
cleaning,es
liquid,es
sponge,en
cotton,en
cover,en
soil,zh
towel,zh
nutrient,es
sun,nl
fill,es
dry,en
swallow,en
learn,nl
eat,nl
drink,en
water,nl
alcohol,es
soda,en
enter,zh
receive,es
stick,en
paper,en
attract,zh
art,es
white,nl
poetry,es
painter,nl
image,es
paint,nl
extract,es
touch,en
rate,zh
invisible,en
modern,nl
different,en
sadness,es
concrete,nl
single,es
ideal,zh
virtual,zh
empty,es
design,zh
reasoning,es
drawing,nl
disorder,es
rare,es
poor,en
illustration,en
air,es
imagination,es
dream,es
square,es
thought,zh
object,es
mouse,en
worm,en
baby,en
development,zh
wool,nl
food,en
old,en
history,es
parent,zh
truth,es
memory,es
identity,es
serenity,zh
respect,es
relative,zh
all,es
cooking,nl
home,en
story,en
grandson,nl
good,en
generous,es
elderly,zh
grandfather,es
complicity,es
childhood,es
sacrifice,zh
patient,zh
aunt,zh
generation,nl
woman,nl
gold,en
protection,zh
time,zh
wisdom,es
observation,zh
medicine,en
far,nl
lord,en
bat,en
weasel,en
special,en
wrinkle,zh
pope,es
grandmother,es
uncle,en
root,es
father,nl
experience,es
past,es
inheritance,nl
guide,es
large,nl
granddaughter,zh
basis,zh
happiness,es
day,en
indifference,zh
unknown,es
patriarch,zh
security,es
ancestor,es
descendant,es
union,es
origin,es
country,nl
retire,es
know,es
diploma,nl
student,zh
professor,nl
school,nl
structure,es
costume,es
objective,es
interesting,zh
level,es
research,nl
faculty,es
title,es
education,es
form,es
universe,zh
career,es
football,es
high,es
regulation,es
cold,es
stove,nl
summer,nl
smell,es
plant,es
sweat,nl
diver,es
temperature,es
beach,es
red,nl
winter,nl
firewood,es
melt,zh
vacation,nl
desert,zh
oven,nl
human,nl
fire,en
heavy,nl
physical,zh
comfort,zh
friction,zh
lava,en
arena,es
climate,es
rock,en
freedom,es
fun,nl
happy,en
camp,nl
camping,zh
celebration,en
exchange,zh
river,es
green,nl
peace,es
fishing,es
parking,nl
