lemma,es,nl,en,zh
supernatural,1.523278534199922e-05,5.505216678510755e-05,7.91501436997891e-05,1.2249281375492646e-05
chocolate,0.0005787071949172718,0.00039485137252833754,0.0008494586037195647,0.00046846254204265707
humiliation,6.209038813985385e-05,7.663194439035646e-05,2.024240378425068e-05,8.563568800841855e-05
intelligence,0.0013738905955959552,0.0002577754049629703,0.0003991754845765269,0.00022771752963201392
dowry,0.0,0.0,0.0,0.0
rich,0.001145708140368191,0.0018317931571020013,0.0011101738998221537,0.0009109692103890709
ethnicity,6.931598524747358e-05,6.661337596589427e-06,5.1360922863180185e-05,0.0003914122660658295
insomnia,6.804158102550644e-05,4.601824184650381e-05,2.0824009075862836e-05,0.00022525209171635142
meal,0.00020507248988719314,0.00014319037889948017,0.0003985511669304084,0.0005773234480059915
forbid,0.0005191326919830455,0.00030776698195159844,6.322437512784689e-05,1.0949032981407091e-05
limestone,0.0,0.0,1.1449028871474281e-05,0.0
towel,6.513016045938499e-05,0.0001341783342077791,0.00010577259732720765,0.00023239191336071064
epic,4.89774101135703e-05,0.0,7.075876789495521e-05,6.159720231151577e-05
public,0.0006451202821369904,0.00013918629041437228,0.0001950147979590311,0.00013982147779237792
discourage,0.0,1.0106613095250257e-05,8.082494951451779e-06,3.258262954853516e-06
aerobic,5.691649212275768e-06,2.775557331912253e-06,4.80898703497096e-06,2.443339003496e-05
inspector,2.0710289065314708e-05,3.498589764317617e-05,1.6058581706063714e-05,0.0
confinement,0.0006380614484738943,3.688262063037038e-05,1.8212961807108466e-05,1.7725023802248584e-05
discrimination,0.00022406708117495664,0.00022013795959725213,4.548772558161112e-05,0.00026461907536800324
separation,0.0005117852222978509,0.00022521856689947833,7.578011723668539e-05,7.494004796163071e-06
messy,2.2612448838516107e-05,3.0989068222092815e-05,0.00027949673153881055,5.0337800820278827e-05
version,4.061394247957214e-05,7.91828111620539e-06,1.8498563979123793e-05,6.4234326824254985e-06
autopsy,0.0,2.470551031702122e-06,3.330668798294705e-06,1.443697982790238e-05
cancel,1.8890981121197012e-05,2.6587014063812873e-05,1.5605431878556718e-05,4.9555093161717296e-05
row,0.0002587431212715142,0.0002966623808503488,0.00018552740941160572,6.859379883077385e-05
large,0.0031925393708377553,0.004041994644383536,0.001324852788538645,4.1765702586239205e-05
some,0.00015926375572250116,0.00021242149127619856,0.00025954732814738605,2.5833370570624267e-05
autonomy,3.360862370049716e-05,0.00011061665474953288,3.4063658164377646e-06,9.24127008553586e-05
crane,4.74453675716647e-05,0.00010847405018918914,2.9066003105768365e-05,6.574015679231506e-05
volunteer,6.237196135642619e-05,6.464179378198225e-05,3.8215352456103256e-05,9.630221262978199e-05
clear,0.0005927084796858035,0.0006510748168212358,0.0009451836257304533,3.0151666930479193e-05
imbalance,9.554274446247577e-05,3.380754043381846e-06,8.090118814039684e-06,1.9341144731273814e-05
part,0.0007305825762923984,0.0007670542935491931,0.0004744419530379723,8.758341925757257e-05
erosion,2.1425544223004063e-05,7.152575246088485e-06,2.0625701273843295e-06,2.224410947432531e-05
journey,0.002603464823072717,0.0011185661018403596,0.0002714592693144815,0.00018767096628562044
visit,0.00026051350869647007,0.00021369233694136378,9.959785551242918e-05,0.00011340200906558506
rhetoric,2.1988867359938975e-05,5.6205035971223235e-06,1.681829661960219e-05,0.000154801260133993
ski,3.6202937623359315e-05,7.238131230994807e-05,7.520293413219525e-05,7.550484500231774e-05
succulent,3.876209377325738e-06,7.934828607702106e-06,1.8283252396279435e-05,1.494683374179779e-05
timely,0.0,2.949871542805869e-05,6.019209472542389e-05,2.8749034278923553e-05
probe,6.159455996846376e-06,7.752083152107993e-06,1.145420647770313e-05,7.122379354816734e-05
infinite,0.0007195226916279925,0.00027450692076271536,0.00017357144369126377,0.00023907322391882559
fungi,0.00013849089738527886,0.0,3.122501998401282e-06,1.2490007993605126e-05
demon,0.00014279478487678142,1.267183341792416e-05,0.00012796314439631154,6.516525909707018e-06
amazing,0.00012650456985267443,0.0003872759008196127,0.0004973149565166891,3.599866653837347e-05
financial,7.925202644688131e-05,0.0001291923966113562,0.00010328337142321663,0.0006087862149671371
psoriasis,4.496402877697848e-06,2.2482014388489306e-06,4.496402877697841e-06,0.0
contemporary,2.8438118273709536e-05,7.722559185891022e-05,4.624223958399006e-05,4.4744187393829516e-05
elixir,1.573823752922584e-05,0.0,7.724510893468638e-06,7.308967311267068e-05
thumb,3.623449468468375e-05,0.00018206781549418163,0.00010952124500528655,0.0001359647489574069
millennium,0.0,2.3084511311531067e-05,4.60746676567031e-05,1.1241007194244606e-05
dramatic,2.498001598721029e-05,6.169629438768343e-05,3.9480959573468815e-05,0.0
penguin,2.482929459186209e-05,8.47527579456224e-06,8.948967507399468e-05,0.00017848930401933213
strand,1.7529361341701417e-05,0.0,7.331347182594454e-06,5.146788002193822e-05
obstetric,0.0,0.0,0.0,0.0
directly,0.0,0.00019325470228967286,9.162294910521894e-06,4.4771797434581816e-05
antelope,9.177278319597726e-06,2.2709105442918463e-06,4.083169859175318e-05,5.98156751977376e-05
musketeer,8.678122437115275e-06,4.002384382088616e-05,5.321186837512238e-06,4.058517891569095e-05
relative,0.00030174059640005103,9.074135236385158e-06,0.00018858141362327748,0.0003326785547867472
grammar,0.0001913260273277522,0.0002123672630720814,0.00025487952818690075,0.00015186146770869964
assumption,2.1341924605028464e-05,0.0,2.57797941729051e-05,2.9425148565266633e-05
ointment,9.8711926618023e-05,8.483053391709614e-05,1.0214971316974618e-05,2.5472799972607847e-05
priesthood,0.0,0.0,3.6556120956893113e-06,0.0
slum,0.0,1.542835779950943e-05,1.3543382161740481e-05,0.0
