lemma,classification
one,zh
also,zh
still,nl
well,nl
people,zh
fun,nl
then,nl
le,es
can,nl
all,es
but,nl
get,en
must,nl
good,nl
beautiful,nl
become,nl
big,zh
many,nl
will,en
about,nl
like,en
very,es
say,zh
more,es
same,es
don,en
love,en
two,zh
know,en
some,en
net,nl
day,es
want,es
see,nl
before,zh
bad,es
back,en
large,nl
think,en
small,zh
morning,nl
right,en
who,en
stand,nl
remain,nl
problem,zh
need,en
time,en
week,nl
three,zh
down,en
eat,zh
here,nl
show,en
natural,nl
try,en
road,nl
method,zh
point,zh
state,nl
search,nl
new,nl
buy,zh
use,en
each,es
far,nl
call,en
even,en
photo,nl
speak,es
question,nl
may,en
follow,en
possible,zh
next,en
less,es
national,zh
truth,es
world,es
form,es
comparison,zh
find,zh
part,es
mean,en
only,zh
moment,es
company,zh
talk,en
thing,en
fight,zh
end,es
house,es
recent,zh
early,nl
country,es
enjoy,nl
around,en
teacher,zh
again,en
strip,zh
often,nl
push,zh
work,nl
game,en
win,en
hello,es
dialect,zh
post,en
counter,es
couple,nl
result,zh
home,zh
always,es
power,es
final,es
finally,zh
hour,nl
law,es
long,nl
other,nl
woman,zh
hear,en
lose,es
money,zh
phone,zh
live,en
classmate,zh
kid,en
nice,en
never,en
ask,zh
sing,zh
please,zh
check,en
clear,es
change,es
though,es
help,en
someone,nl
theme,es
government,zh
life,es
stop,en
pressure,nl
free,nl
miss,en
amazing,nl
hope,en
demand,zh
arrive,es
behind,nl
present,es
congratulation,nl
message,nl
feel,en
thought,en
year,es
super,nl
university,zh
saint,es
own,nl
freedom,zh
previous,nl
social,zh
computer,zh
enter,es
shame,nl
joy,zh
happy,es
soon,en
leave,es
directly,zh
wish,en
run,en
sleep,zh
reaction,nl
type,es
fall,nl
stay,en
case,es
cool,en
together,zh
half,zh
four,zh
study,es
dream,es
wait,en
force,es
frequently,zh
wild,nl
path,es
completely,zh
move,en
safe,es
choice,zh
mind,en
technology,zh
hit,en
agreement,es
penalty,es
book,en
food,en
friend,es
course,en
plus,zh
thousand,es
side,es
welcome,nl
function,es
equal,nl
map,nl
idea,nl
position,es
successful,zh
last,en
situation,zh
decision,zh
hug,es
child,nl
past,es
story,en
drink,zh
favorite,en
share,en
micro,zh
five,zh
school,en
lord,es
alive,es
desire,nl
royal,es
month,zh
night,es
gang,zh
remember,en
version,zh
family,en
fan,en
vacation,nl
son,es
except,zh
read,en
reality,es
program,es
fear,es
specie,nl
economy,zh
estimate,zh
boss,zh
hold,en
political,zh
history,es
girl,en
participate,zh
hate,en
forever,zh
different,es
solve,zh
public,es
top,nl
male,zh
memory,es
spend,en
baby,en
follower,nl
coffee,nl
impact,zh
customer,nl
wonder,en
party,es
answer,zh
walk,en
break,en
incident,zh
million,es
training,nl
wall,zh
doubt,es
degree,zh
website,zh
beer,en
village,es
basic,zh
mail,nl
partially,zh
relationship,zh
team,es
currently,zh
functionality,zh
extra,nl
yesterday,nl
face,es
hard,zh
first,es
listen,es
example,es
habit,zh
allow,es
attempt,es
raw,zh
effort,zh
warm,nl
music,en
wear,zh
rest,nl
fill,es
receive,es
representative,zh
happiness,zh
leadership,zh
flower,zh
cover,en
old,nl
catch,en
democracy,zh
reason,zh
marriage,zh
cut,en
cause,en
forward,en
support,en
information,es
understand,es
student,zh
street,es
doctor,zh
dry,zh
sense,es
flip,zh
garden,nl
graduate,zh
perform,es
hang,nl
deal,en
thick,nl
clothe,zh
mother,es
development,zh
kiss,es
description,zh
film,zh
send,en
head,en
sweet,en
speed,zh
season,en
colleague,nl
die,es
activity,zh
reporter,zh
mouth,zh
sun,nl
high,zh
chance,zh
regime,zh
spirit,zh
today,nl
join,en
ten,zh
drive,en
class,es
beam,es
serious,es
internet,es
short,nl
wrong,en
shoot,zh
store,en
simple,zh
suffer,es
president,es
mode,es
level,es
status,zh
system,zh
current,es
line,en
train,nl
invitation,zh
care,en
response,es
personal,zh
rock,en
worried,zh
football,es
updated,zh
include,en
measure,es
ethnicity,zh
severe,zh
group,es
trip,en
outside,es
principle,es
main,zh
funny,en
battle,nl
necessary,es
discard,zh
ticket,nl
culture,zh
ass,en
hand,es
meal,zh
majority,es
car,zh
room,en
strong,zh
creation,zh
save,en
economic,es
gate,es
straight,zh
police,zh
poor,es
beat,en
earth,es
open,zh
sister,zh
tragedy,zh
lonely,zh
order,en
education,zh
terrace,zh
number,nl
field,es
bring,en
front,es
encounter,es
laugh,zh
television,zh
noodle,zh
contact,nl
release,en
human,es
recommend,zh
station,zh
march,nl
abroad,zh
fine,en
necessity,es
worthy,zh
accept,zh
sky,es
hell,en
circle,zh
wow,en
cuisine,zh
easy,zh
dormitory,zh
learn,en
voice,es
everyday,zh
handling,zh
daughter,nl
rare,es
content,zh
act,en
municipality,nl
soul,es
se,zh
noon,zh
brain,zh
birthday,en
provide,zh
important,es
journey,es
cinema,es
ordinary,zh
list,en
sound,en
cow,zh
process,es
news,zh
agree,en
recommendation,zh
manufacture,zh
