lemma,classification
more,es
but,nl
le,es
all,es
very,es
about,nl
also,zh
life,es
year,es
can,nl
two,zh
well,nl
time,en
each,es
world,es
one,zh
day,es
always,es
same,es
part,es
see,nl
only,zh
though,es
less,es
good,nl
other,nl
today,nl
thing,en
form,es
say,zh
before,zh
moment,es
counter,es
house,es
power,es
place,en
never,en
state,nl
new,nl
people,zh
many,nl
who,en
work,nl
here,nl
country,es
case,es
love,en
some,en
then,nl
history,es
three,zh
man,en
truth,es
end,es
first,es
government,zh
past,es
still,nl
must,nl
type,es
system,zh
side,es
want,es
city,es
reality,es
outside,es
night,es
name,en
clear,es
final,es
earth,es
large,nl
example,es
bad,es
even,en
point,zh
million,es
water,es
woman,zh
eye,es
important,es
group,es
someone,nl
body,es
book,en
information,es
social,zh
hour,nl
lord,es
word,zh
village,es
know,en
father,es
mother,es
possible,zh
death,es
family,en
money,zh
path,es
light,es
president,es
morning,nl
theme,es
sense,es
hand,es
change,es
child,nl
national,zh
heart,es
week,nl
war,es
front,es
friend,es
law,es
situation,zh
problem,zh
speak,es
party,es
head,en
men,en
idea,nl
agreement,es
think,en
four,zh
month,zh
level,es
follow,en
mode,es
majority,es
last,en
live,en
media,nl
process,es
son,es
music,en
royal,es
different,es
long,nl
relationship,zh
face,es
public,es
development,zh
leave,es
like,en
film,zh
security,es
voice,es
crisis,es
project,es
position,es
second,zh
number,nl
own,nl
reason,zh
internet,es
church,en
future,zh
fear,es
force,es
service,es
serie,es
sun,nl
program,es
minute,en
thousand,es
team,es
view,nl
game,en
company,zh
use,en
saint,es
freedom,zh
health,es
safe,es
gate,es
attention,zh
international,es
principle,es
human,es
personal,zh
find,zh
special,zh
five,zh
datum,es
space,es
parent,zh
right,en
education,zh
rest,nl
street,es
soul,es
feel,en
mind,en
century,es
energy,es
doubt,es
experience,nl
class,es
sea,es
age,en
help,en
peace,es
base,es
area,es
blood,es
communication,es
image,nl
paper,en
free,nl
strong,zh
order,en
yesterday,nl
movement,zh
necessary,es
small,zh
quality,zh
total,es
pain,es
soon,en
current,es
market,zh
memory,es
young,nl
response,es
easy,zh
sky,es
high,zh
culture,zh
science,es
capacity,es
study,es
university,zh
read,en
field,es
air,es
spirit,zh
control,es
action,zh
question,nl
color,es
website,zh
nature,nl
result,zh
art,en
value,es
politician,es
arrive,es
happy,es
objective,es
main,zh
necessity,es
cause,en
journey,es
measure,es
present,es
previous,nl
population,es
mouth,zh
far,nl
call,en
research,zh
organization,zh
director,es
article,nl
dream,es
amount,es
write,zh
penalty,es
political,zh
avoid,es
resource,es
knowledge,zh
economy,zh
allow,es
justice,es
search,nl
interest,es
encounter,es
around,en
show,en
barely,es
capital,es
condition,zh
photo,nl
skin,es
author,es
direction,nl
fight,zh
soil,es
opinion,es
hello,es
white,en
effect,zh
album,es
wait,en
desire,nl
style,en
understand,es
cinema,es
consciousness,zh
silence,es
support,en
plan,nl
natural,nl
school,en
member,en
activity,zh
model,es
enter,es
perform,es
opportunity,es
possibility,nl
product,zh
planet,es
mean,en
alive,es
song,en
eat,zh
citizen,zh
fire,en
production,es
brother,zh
character,en
difference,es
simple,zh
finally,zh
career,es
king,es
post,en
award,es
band,en
message,nl
line,en
television,zh
get,en
press,es
list,en
daily,es
interesting,nl
couple,nl
talk,en
police,zh
act,en
importance,es
date,en
origin,es
location,es
environment,zh
popular,es
completely,zh
hope,en
black,en
violence,es
table,es
test,es
animal,es
policy,zh
disease,es
six,zh
novel,zh
economic,es
girl,en
decision,zh
humanity,zh
specie,nl
normal,zh
wine,nl
south,en
ten,zh
forward,en
daughter,nl
above,nl
version,zh
north,en
may,en
destination,es
worker,es
food,en
dollar,zh
chief,es
text,nl
taste,zh
behind,nl
page,en
together,zh
listen,es
theory,zh
old,nl
foot,es
risk,es
need,en
bed,nl
half,zh
vision,es
official,es
source,es
lose,es
universe,es
title,es
creation,zh
brain,zh
count,es
meter,es
moon,es
car,zh
pay,en
occasion,es
element,es
smile,es
defense,es
military,es
concept,nl
bible,en
democracy,zh
square,es
local,en
kiss,es
down,en
summer,en
effort,zh
respect,es
news,zh
river,es
fourth,es
construction,zh
currently,zh
bank,nl
huge,nl
election,es
original,zh
technology,zh
gold,zh
learn,en
material,es
function,es
enjoy,nl
sex,en
clothing,es
minister,es
speed,zh
object,es
don,en
buy,zh
complete,zh
union,es
low,zh
blame,es
radio,es
growth,zh
kingdom,es
letter,zh
weapon,es
meat,zh
contact,nl
solution,nl
practice,es
brand,es
responsibility,zh
wind,es
analysis,zh
island,es
win,en
seven,zh
professor,es
classmate,zh
directly,zh
weight,es
authority,es
affair,es
room,en
feeling,zh
sad,zh
campaign,es
remember,en
season,en
physical,es
expression,zh
care,en
scientist,es
fill,es
sleep,zh
achieve,es
fast,en
march,nl
content,zh
distance,zh
boy,en
figure,en
course,en
professional,es
error,es
unit,zh
lip,es
confidence,nl
story,en
hundred,es
die,es
report,en
club,es
happiness,zh
coast,es
treatment,es
arm,es
revolution,zh
hospital,zh
poor,es
debt,es
treat,en
share,en
fall,nl
global,zh
magazine,es
visit,nl
heat,zh
joy,zh
language,zh
student,zh
pope,es
consumption,zh
institute,es
reference,es
consequence,nl
intelligence,es
green,nl
august,es
receive,es
beauty,zh
design,zh
sound,en
deadline,es
generation,es
institution,es
scene,zh
step,nl
structure,es
user,es
third,zh
size,en
thought,en
option,es
characteristic,zh
evolution,es
attempt,es
attitude,zh
hard,zh
leader,es
congress,es
hunger,es
strange,es
key,zh
sister,zh
management,zh
ask,zh
exercise,es
commission,es
association,es
open,zh
intention,es
continuation,es
relative,es
blue,en
cold,nl
army,zh
phone,zh
bread,nl
cooking,es
height,nl
detail,en
increase,zh
surprise,en
republic,es
victim,es
damage,es
debate,nl
secret,es
sale,en
park,en
star,en
coffee,nl
witness,es
perfect,en
protection,zh
master,es
territory,es
red,nl
hate,en
court,es
minimum,es
rain,es
hug,es
double,zh
literature,zh
neighborhood,nl
instant,es
convert,es
account,en
regime,zh
vacation,nl
serious,es
eight,zh
stone,es
attack,es
except,zh
flower,zh
beach,es
responsible,zh
grace,es
genre,es
maximum,es
mental,es
neighbor,nl
door,nl
industry,zh
application,zh
publish,es
proposal,nl
degree,zh
speech,es
similar,es
oil,en
window,es
danger,zh
employment,es
payment,es
marriage,zh
opposition,zh
poetry,zh
wife,en
beam,es
mission,zh
milk,es
participate,zh
spiritual,es
interview,zh
artist,en
screen,es
channel,es
doctor,zh
dog,en
exhibition,es
often,nl
commercial,es
single,en
shadow,es
concert,es
musical,es
fashion,es
pressure,nl
chain,es
patient,zh
writer,en
building,en
consider,es
quote,en
floor,en
cry,es
sweet,en
department,zh
short,nl
center,zh
resident,es
finger,es
presentation,nl
customer,nl
battle,nl
port,es
passion,es
affection,es
identity,zh
constitution,es
decade,es
rock,en
angel,es
strategy,es
behavior,zh
deep,zh
province,zh
silver,es
standard,zh
investment,zh
glory,es
constant,es
tree,nl
initiative,nl
conflict,es
philosophy,zh
humor,es
demand,zh
home,zh
husband,en
forget,nl
football,es
museum,nl
brief,es
influence,nl
protagonist,es
box,en
friendship,es
labor,es
chest,zh
tough,es
office,en
accept,zh
loss,en
leg,nl
municipal,es
tone,es
tear,zh
sin,zh
trade,en
expert,zh
train,nl
next,en
medicine,zh
reader,en
neck,es
again,en
impact,zh
salt,zh
terrain,es
illusion,es
absolutely,zh
usual,zh
phenomenon,zh
selection,es
photography,zh
shop,nl
mixture,es
advertising,zh
vote,es
personality,zh
climb,es
frequency,es
foundation,nl
plant,nl
gift,es
ideal,zh
empty,nl
digital,nl
travel,es
judge,es
absence,es
code,zh
contract,es
player,es
purchase,es
intervention,es
method,zh
queen,es
socialist,es
tool,zh
cancer,en
honor,en
display,en
girlfriend,nl
load,es
arena,es
poverty,es
reform,zh
period,zh
cell,en
threat,es
wood,zh
become,nl
individual,es
festival,zh
recently,en
roommate,es
land,zh
sadness,es
famous,es
solar,es
sport,es
poet,nl
surface,zh
sum,es
newspaper,zh
emotion,zh
organism,es
federal,es
essence,zh
curious,es
ear,es
factor,es
traditional,zh
reduce,es
youth,nl
winter,nl
dark,en
singer,es
boundary,es
declaration,es
walk,en
enemy,es
leaf,nl
solve,zh
secretary,es
trend,en
petroleum,zh
hall,nl
livestock,es
researcher,es
recent,zh
recognition,zh
competition,es
mayor,es
evidence,en
housing,es
representative,zh
station,zh
rare,es
teach,en
basis,zh
crazy,nl
darkness,zh
prosecutor,es
noise,es
signal,es
headquarter,es
virgin,es
tribunal,es
computer,zh
route,es
map,nl
online,nl
usually,nl
conference,en
explanation,zh
domain,es
include,en
empire,zh
suffer,es
cup,zh
rule,en
temperature,zh
permanent,es
gas,zh
catholic,es
fund,zh
try,en
nine,zh
childhood,es
run,en
software,es
smell,es
kill,en
officer,zh
accident,zh
concrete,es
beautiful,nl
credit,en
logic,zh
mirror,es
dress,en
agent,en
unemployment,es
return,es
generate,zh
balance,zh
bear,en
virus,es
deal,en
corruption,zh
scale,zh
stop,en
phase,zh
correspond,es
actor,es
flight,es
interpretation,es
collaboration,nl
drug,es
expense,es
private,es
equality,zh
pile,zh
temple,zh
nuclear,es
metro,zh
independent,zh
palace,es
budget,es
wealth,zh
performance,nl
pure,es
twenty,zh
treaty,es
league,es
sign,en
boyfriend,zh
reflection,es
cycle,es
resistance,nl
guide,en
resolution,es
fan,en
magic,zh
awaken,es
disc,es
category,es
road,nl
perspective,zh
paint,es
uncle,es
difficulty,zh
east,en
teeth,es
defend,es
contain,es
airport,zh
registration,es
homeland,es
bridge,es
multiple,en
owner,es
publication,zh
alcohol,es
follower,nl
sell,zh
tourism,zh
entity,es
collective,es
forest,nl
heritage,es
hear,en
hell,en
lion,es
sugar,en
command,es
collection,en
employee,nl
positive,nl
metal,en
rich,zh
argument,es
custom,es
terror,zh
adventure,en
useful,es
mystery,en
appearance,es
prayer,en
obligation,es
imagination,es
ship,es
climate,es
adult,en
touch,en
check,en
bring,en
wish,en
wall,zh
remain,nl
soldier,zh
cloud,zh
dish,en
destruction,zh
guard,es
financial,nl
belief,zh
mountain,zh
candidate,es
doctrine,es
guitar,en
talent,zh
eliminate,es
audience,nl
spring,nl
birthday,en
machine,zh
reaction,nl
save,en
gesture,es
concern,en
hurt,en
classic,zh
file,zh
fruit,zh
store,en
pop,en
engine,es
improvement,zh
bag,nl
will,en
connection,nl
super,nl
wide,en
grandmother,es
luxury,es
eternal,es
capitalism,zh
distribution,es
dialogue,zh
prison,es
liberation,zh
wisdom,zh
tail,es
drum,es
extreme,es
desert,es
currency,zh
castle,es
patience,zh
twelve,es
pride,zh
baby,en
forum,zh
depression,es
apply,es
announcement,es
overcome,es
clock,es
wing,en
printing,nl
electronic,zh
belong,nl
cat,zh
stay,en
vital,es
facility,es
industrial,es
dignity,zh
curiosity,es
complicated,zh
potential,en
complaint,es
cost,zh
format,es
early,nl
recommend,zh
garden,nl
initial,es
chocolate,en
platform,zh
snow,nl
dictatorship,zh
western,zh
move,en
layer,zh
thirty,zh
zero,es
plot,zh
religious,zh
internal,zh
discussion,zh
foreigner,zh
teacher,zh
solidarity,es
relate,zh
landscape,es
instrument,es
shame,nl
equal,nl
parliament,es
modern,zh
ice,en
murder,en
shoe,en
highlight,es
crowd,zh
infinite,zh
egg,zh
documentary,es
concentration,es
summary,es
tax,en
suitable,es
singe,es
library,en
writing,es
devil,en
shepherd,es
exception,es
slowly,nl
depth,zh
variety,en
express,es
promotion,es
track,en
ethic,es
progress,zh
fun,nl
available,en
calm,zh
valley,en
oven,nl
reserve,es
intensity,es
crime,es
horse,nl
corner,en
root,zh
bright,en
profile,es
combat,es
symptom,es
tension,nl
triumph,es
critic,es
flag,es
chaos,zh
protest,zh
chair,nl
permission,es
tower,es
escape,es
crystal,es
bill,en
excess,es
break,en
cure,es
dose,es
advance,es
worship,zh
visual,es
border,en
grey,nl
lawyer,zh
circle,zh
prince,zh
false,zh
advantage,nl
bone,es
costume,es
camera,zh
script,es
insurance,zh
alliance,zh
active,nl
vehicle,es
celebration,zh
accompany,es
symbol,zh
gospel,en
faculty,es
send,en
coincidence,es
dance,es
lab,zh
wound,es
unknown,zh
fly,nl
smoke,es
spectacular,es
ray,zh
execution,es
atmosphere,nl
slow,zh
continent,es
rejection,zh
recipe,en
evaluation,zh
basic,zh
hypothesis,es
guarantee,zh
roof,nl
excuse,en
insure,es
drink,zh
grandfather,es
rage,es
wave,es
episode,en
horizon,es
autumn,nl
clarity,zh
perception,es
strike,en
salary,es
punishment,zh
lover,es
repair,zh
legend,zh
disaster,es
virtual,es
wheel,es
sick,en
sacrifice,zh
repeat,es
bush,en
edge,nl
exchange,zh
habit,zh
transformation,zh
cheerful,nl
rate,en
jump,zh
promise,es
civilization,zh
iron,en
continuous,zh
nose,nl
abroad,zh
consultation,zh
guilty,es
fifteen,zh
expectation,nl
rescue,nl
handling,zh
translation,zh
technician,es
courtyard,es
maintain,es
approach,nl
cover,en
effective,es
beer,en
cheese,en
initiate,es
virtue,es
mechanism,zh
rice,en
slope,es
stick,es
ass,en
component,nl
panorama,es
negative,zh
satisfaction,zh
lift,es
west,en
declare,es
role,nl
thirst,es
stadium,es
challenge,en
breath,en
preparation,nl
define,es
comparison,zh
troop,zh
forty,zh
powerful,zh
pact,es
priest,es
princess,zh
electric,zh
demon,es
actress,es
fifty,zh
collect,es
gravity,es
dangerous,es
surgery,zh
surround,es
weak,zh
pocket,es
echo,es
aesthetic,es
combination,nl
calendar,en
miracle,zh
maintenance,zh
ingredient,en
attend,en
paradise,es
giant,en
cleaning,es
storm,en
average,nl
captain,es
organ,zh
drawing,nl
tape,en
defeat,es
routine,es
governor,es
experiment,nl
destroy,es
training,nl
casualty,es
precious,es
chicken,en
spokesman,zh
authentic,es
joke,es
diet,zh
pasta,es
wedding,en
eleven,es
guest,nl
duty,es
verse,es
indigenous,es
discipline,es
visitor,nl
partner,nl
stability,zh
sample,en
reflect,es
stress,zh
thesis,zh
tire,zh
bottle,nl
sensitivity,es
winner,en
blast,en
architecture,zh
dawn,es
describe,en
nervous,zh
arc,es
transmission,es
regular,en
creativity,nl
radical,es
plastic,nl
instruction,zh
shoulder,en
sword,zh
exploitation,es
disappear,nl
copy,en
substance,nl
promote,es
wolf,zh
arrange,zh
treasure,nl
deny,es
flu,zh
dinner,en
killer,es
aunt,nl
pupil,es
rose,nl
passenger,zh
shoot,zh
annoying,nl
breakfast,en
expansion,zh
inspiration,nl
request,nl
misery,nl
transition,en
harmony,zh
hold,en
particle,es
diversity,es
orange,nl
launch,es
summit,es
clean,en
separation,nl
cut,en
earthquake,zh
saga,es
legislation,es
cheap,zh
unconscious,es
genetic,es
worthy,zh
jury,es
fantasy,zh
expensive,zh
chemistry,zh
flame,es
consumer,es
index,zh
favorite,en
button,en
pull,nl
extra,nl
lightning,es
leadership,zh
immigrant,zh
classical,nl
apple,zh
review,en
description,zh
repression,es
twist,en
survival,zh
jealousy,es
inevitable,es
remove,es
flour,en
compose,es
arrest,en
bus,nl
width,es
seat,en
assertion,es
prevent,es
lecture,zh
throat,es
core,zh
liquid,es
communist,zh
pension,es
residence,zh
branch,nl
medical,en
typical,es
bishop,es
colleague,nl
formula,es
stair,es
drama,zh
dynamic,zh
elderly,zh
pattern,nl
decree,es
inheritance,es
tragedy,zh
disappearance,zh
race,en
device,en
wonder,en
pregnancy,zh
approval,zh
musician,en
column,zh
interested,zh
wage,zh
prevention,es
childbirth,es
reveal,en
innocent,es
pollution,zh
random,en
tomb,es
shore,zh
bomb,es
mud,es
alert,en
lonely,zh
agriculture,zh
mark,en
autonomy,zh
visible,nl
hide,es
electricity,zh
sentence,en
circuit,es
therapy,es
founder,es
warrior,es
driver,zh
clinic,es
brave,zh
tobacco,es
nerve,es
marine,es
flow,zh
fortress,es
enthusiasm,zh
shirt,es
saving,es
seed,en
refuge,es
bet,en
bird,zh
suicide,zh
hunting,es
spear,es
innovation,zh
revenge,zh
effectiveness,es
locate,es
notice,en
chronicle,es
onion,en
invasion,zh
illegal,zh
criminal,es
bless,en
peak,es
warning,es
champion,es
brightness,es
hollow,es
deception,zh
believer,nl
wild,nl
everyday,zh
fish,zh
invisible,es
accuse,es
confusion,zh
yellow,zh
fifth,es
hero,zh
ceremony,zh
ocean,zh
fresco,es
ghost,zh
cable,es
prisoner,es
massive,en
reply,zh
pool,en
gene,nl
circulation,es
forbid,es
ball,es
pagan,es
cast,en
stranger,zh
equivalent,zh
avenue,zh
evening,nl
stomach,en
knight,es
painter,nl
please,zh
crossing,es
theft,es
genius,es
idiot,es
sunglass,es
producer,es
frequent,zh
crown,en
provide,zh
coin,es
aroma,zh
syndrome,es
propaganda,zh
gala,es
abortion,es
sensitive,zh
pound,en
farewell,nl
prophet,es
controversy,zh
colony,es
dry,zh
eastern,en
evil,zh
coach,en
block,en
noble,zh
invitation,zh
wrong,en
pilot,es
extraordinary,es
commander,es
prestige,es
furniture,en
identification,zh
stable,es
slave,es
artificial,zh
violation,zh
innocence,es
tomato,en
excellence,zh
brutal,zh
release,en
rank,en
