lemma,es,nl,en,zh
supernatural,2.4830205643175937e-05,8.14773439741131e-06,2.735913896667062e-05,5.936628161963223e-06
chocolate,0.0002563550960998164,0.0002229736423212363,0.00042163056626718417,0.00012420226559073619
humiliation,1.93776267012623e-05,9.196452686187025e-06,9.884894386930652e-06,4.555861836652676e-05
intelligence,0.0001912596921163552,3.234892567685085e-05,7.786111123734001e-05,9.965530869632646e-05
dowry,3.061832790459195e-06,8.067063759813179e-07,1.5459787429796754e-06,7.270701906224622e-06
rich,0.00032581256323680857,0.00020490341949925476,0.0002828204142838879,0.0004816006216783648
ethnicity,5.368693112038041e-06,2.420119127943954e-06,9.322720298574405e-06,0.0006081375163215584
insomnia,6.291437240669579e-05,5.646944631869226e-06,1.9535549570379536e-05,0.0001272706352025374
meal,5.788122261416012e-05,0.00011745644834287989,0.0002702651929772651,0.0006538295420625114
forbid,0.00014721963143166813,0.00010713060673031902,3.4058380186249214e-05,0.00011519726781697175
limestone,1.8454882572630764e-06,1.2907302015701088e-06,4.68478406963538e-06,8.67147933769909e-07
towel,3.804222384858205e-05,3.686648138234623e-05,6.202654108197243e-05,4.7826543731771134e-05
epic,3.820999550833324e-05,1.0487182887757134e-05,0.00012578645226970996,1.0805997328517327e-05
public,0.0011293968705300649,0.0002111150585943109,0.0006333359583740071,0.0004064922698764481
discourage,3.774862344401747e-06,3.2268255039252717e-06,2.4595116365585744e-05,1.0939404702943468e-05
aerobic,6.12366558091839e-06,8.067063759813179e-07,7.776741555594731e-06,9.33851620982979e-06
inspector,5.343527363075362e-05,1.613412751962636e-05,1.5553483111189462e-05,3.201776986227356e-06
confinement,2.491409147305153e-05,5.243591443878567e-06,4.028914299886427e-06,8.60477565048602e-06
discrimination,5.393858861000719e-05,3.50110567175892e-05,2.365815955165867e-05,8.918282980387449e-05
separation,5.691653557059079e-05,6.050297819859884e-05,2.689066055970708e-05,7.737627716716111e-06
messy,1.3925047759348667e-05,1.976430621154229e-05,4.314686128134185e-05,3.8154509085875995e-05
version,0.00046221092261452504,0.0003288941894875833,0.00036714652753732475,0.0011714501548359339
autopsy,9.982413755195731e-06,3.2268255039252717e-06,5.29380599868798e-06,6.403553972454712e-06
cancel,6.706672098553771e-05,4.348147366539304e-05,0.00011988362434196938,0.000248004309058194
row,9.894333633826357e-05,0.00032760345928601323,0.00020121147579083958,0.00030316825838340276
