lemma,saliency rank,saliency score
one,1,197.40821137319978
also,2,115.37141114668867
still,3,110.68391738122025
well,4,95.77321829190464
people,5,94.18601236868076
fun,6,79.68989747126868
then,7,76.14490057329994
le,8,75.18130315094993
can,9,73.14971358612563
all,10,69.51342003025525
but,11,65.58250657552252
get,12,64.91379327962763
must,13,58.05131679912813
good,14,57.57869008538923
beautiful,15,57.25565946080138
become,16,50.83791678040966
big,17,50.678759888037504
many,18,50.39948089481763
will,19,50.06604797856931
about,20,49.258194763886095
like,21,46.71289462140131
very,22,45.951971001868955
say,23,45.23957419726073
more,24,45.196988162832206
same,25,44.43277845786851
don,26,43.62759724344647
love,27,40.541190659346626
two,28,38.88060581721727
know,29,37.779394507164454
some,30,34.02020176041132
net,31,33.68999923940893
day,32,32.26989677298188
want,33,31.630043088380113
see,34,31.476747094345157
before,35,31.282404064275504
bad,36,30.136470394633346
back,37,30.038657629062417
large,38,28.136108424696715
think,39,28.108166318213605
small,40,27.586562507163734
morning,41,27.01366990492162
right,42,26.958595793493522
who,43,26.186114161450654
stand,44,25.820962982762552
remain,45,24.467720624138355
problem,46,24.37560734872566
need,47,23.985128673705255
time,48,23.022329408419658
week,49,22.494155558558788
three,50,22.406809545650972
down,51,22.337954421114777
eat,52,21.955819715287806
here,53,21.64386814134457
show,54,21.550760282362937
natural,55,21.509668352824576
try,56,21.155475740929923
road,57,21.055988676704864
method,58,20.97833360580669
point,59,20.914278693731678
state,60,20.613902206093073
search,61,20.510355624103724
new,62,20.010837286194224
buy,63,19.58527762638188
use,64,19.2021345664638
each,65,19.2013879164293
far,66,19.104644117247894
call,67,18.880873264913458
even,68,18.72404729985921
photo,69,18.642839865254825
speak,70,18.09467394496413
question,71,17.87408703261211
may,72,17.70364326964816
follow,73,17.54886926146936
possible,74,17.44407530208113
next,75,17.416888173382823
less,76,17.227478211845046
national,77,17.014641588808566
truth,78,16.969590494805594
world,79,16.898576533687237
form,80,16.855952968214694
comparison,81,16.712108695164925
find,82,16.52570013683091
part,83,16.43996007124295
mean,84,16.389916840973115
only,85,16.17565804587737
moment,86,15.990111192167603
company,87,15.761431490470365
talk,88,15.577640905845179
thing,89,15.369098770944957
fight,90,15.348519425350538
end,91,15.315483095899081
house,92,15.225168715598956
recent,93,15.17275149811135
early,94,14.884055727039653
country,95,14.768972641582547
enjoy,96,14.623986161821849
around,97,14.595102544533063
teacher,98,14.593191947346154
again,99,14.4171145002173
strip,100,14.38238893157122
often,101,14.31849976123727
push,102,14.148135412988431
work,103,14.10887188024921
game,104,14.088642790597785
win,105,14.048781653982605
hello,106,13.985235912657595
dialect,107,13.879726936915553
post,108,13.842758044355259
counter,109,13.633778143704317
couple,110,13.615604522820625
result,111,13.602731605949543
home,112,13.541063378796405
always,113,13.499300623039023
power,114,13.424236128551195
final,115,13.408614268049853
finally,116,13.321186650307343
hour,117,13.301499195203029
law,118,13.171950427705662
long,119,13.113081326305865
other,120,12.99082557914171
woman,121,12.924256207027058
hear,122,12.864522065456299
lose,123,12.669101642212713
money,124,12.641375558454108
phone,125,12.628366304378243
live,126,12.503157514763096
classmate,127,12.501114024697152
kid,128,12.500498371511807
nice,129,12.475444474640302
never,130,12.372637658704884
ask,131,12.078038157694966
sing,132,11.858548532724885
please,133,11.825176441064535
check,134,11.737853715943613
clear,135,11.668679170070572
change,136,11.568254127166018
though,137,11.431791219539186
help,138,11.425184099217017
someone,139,11.375223974247183
theme,140,11.313986494979414
government,141,11.295299692371952
life,142,11.248615024593452
stop,143,11.10210057977136
pressure,144,11.039883300891615
free,145,11.013630376517742
miss,146,10.973642966074703
amazing,147,10.915044158763651
hope,148,10.887508872613946
demand,149,10.835582983707605
arrive,150,10.798019141274597
behind,151,10.74678180145705
present,152,10.679485640889595
congratulation,153,10.54761492619137
message,154,10.329402277211683
feel,155,10.324660354668968
thought,156,10.314863247581478
year,157,10.313713349788522
super,158,10.27010879184077
university,159,10.210857687029243
saint,160,10.203277702638994
own,161,10.140417629465976
freedom,162,10.112769252435267
previous,163,10.104188194540217
social,164,10.072884528825458
computer,165,10.069249297105914
enter,166,10.03284538409106
shame,167,10.021060293779913
joy,168,9.997322397691121
happy,169,9.934268404075251
soon,170,9.832825817715808
leave,171,9.757974345328659
directly,172,9.749102508057282
wish,173,9.690044582218887
run,174,9.582829522802026
sleep,175,9.539712669445857
reaction,176,9.505983786203572
type,177,9.475775023193552
fall,178,9.463585544127513
stay,179,9.448350578113462
case,180,9.381913292958279
cool,181,9.239103093881884
together,182,9.113352729726692
half,183,9.043748881912464
four,184,9.030125247167138
study,185,8.999913693843098
dream,186,8.875320217952757
wait,187,8.834974797103389
force,188,8.72536404394978
frequently,189,8.68579018263823
wild,190,8.651003780204405
path,191,8.586459081428979
completely,192,8.568368127208954
move,193,8.553042085879786
safe,194,8.492037101008412
choice,195,8.477529086443733
mind,196,8.456576087883983
technology,197,8.380080386218289
hit,198,8.376631685373397
agreement,199,8.366931297222957
penalty,200,8.36245080982995
book,201,8.349325807880458
food,202,8.337838762321129
friend,203,8.284413738460854
course,204,8.273394342908553
plus,205,8.250586771853474
thousand,206,8.16762046920159
side,207,8.139425597671373
welcome,208,8.130623158069268
function,209,8.09665427328447
equal,210,8.065112730802138
map,211,8.020297947982275
idea,212,7.967834748582281
position,213,7.962851576913902
successful,214,7.926693202979419
last,215,7.891637109576695
situation,216,7.890912938543614
decision,217,7.837506795094787
hug,218,7.794663137163148
child,219,7.741006586600502
past,220,7.697896820094876
story,221,7.673842090343644
drink,222,7.650889515740745
favorite,223,7.581633035718186
share,224,7.48962983298377
micro,225,7.488655117118675
five,226,7.447533370195571
school,227,7.438418030867856
lord,228,7.426081884286802
alive,229,7.423435527446378
desire,230,7.409294092503772
royal,231,7.399381498906633
month,232,7.3993775511943305
night,233,7.379130921509807
gang,234,7.296504859049076
remember,235,7.294059238933908
version,236,7.293683385895754
family,237,7.2867481578047055
fan,238,7.274917429005405
vacation,239,7.203082806624416
son,240,7.198082243970343
except,241,7.136880622764554
read,242,7.129678910217274
reality,243,7.129199636444504
program,244,7.122034208892618
fear,245,7.097458003028332
specie,246,7.074664439355811
economy,247,7.072997295777703
estimate,248,6.99405282640201
boss,249,6.980797627612212
hold,250,6.9490612943596215
political,251,6.932866909071951
history,252,6.926169771906112
girl,253,6.900751989159163
participate,254,6.897604709098922
hate,255,6.8821112151537465
forever,256,6.830689405299379
different,257,6.812841015717703
solve,258,6.773063442564846
public,259,6.745967750489363
top,260,6.721513449924762
male,261,6.711927270991588
memory,262,6.677148652128723
spend,263,6.64554709716305
baby,264,6.645297182399598
follower,265,6.638839012785356
coffee,266,6.5873432079178915
impact,267,6.567041506247387
customer,268,6.533125776389351
wonder,269,6.527326689745353
party,270,6.525015221441711
answer,271,6.47847714480945
walk,272,6.422393706466856
break,273,6.415718283671412
incident,274,6.390707241028686
million,275,6.363613624557289
training,276,6.350854558537231
wall,277,6.349026305090629
doubt,278,6.339620385738588
degree,279,6.295057356776175
website,280,6.267385445500992
beer,281,6.254444387744583
village,282,6.250803194806583
basic,283,6.244791833357956
mail,284,6.224447087659941
partially,285,6.206726547345329
relationship,286,6.205468247872119
team,287,6.191958106933731
currently,288,6.191175671250745
functionality,289,6.1515789412018975
extra,290,6.144299825221774
yesterday,291,6.093838936701091
face,292,6.078971770826104
hard,293,6.042574957219692
first,294,6.0405978391173125
listen,295,6.031703352659652
example,296,6.018405084658558
habit,297,6.01332084893277
allow,298,6.01196838397512
attempt,299,5.996700029867507
raw,300,5.9889810372353
effort,301,5.972775611224005
warm,302,5.968671172593003
music,303,5.960960699389636
wear,304,5.9338495960952535
rest,305,5.9282263050727
fill,306,5.9267788638269545
receive,307,5.903120119764174
representative,308,5.894667779900816
happiness,309,5.867331582514676
leadership,310,5.822594126917586
flower,311,5.809614208769098
cover,312,5.728002676866151
old,313,5.715276740032378
catch,314,5.693334811976289
democracy,315,5.683973671645402
reason,316,5.677300165391043
marriage,317,5.670598718286634
cut,318,5.659796715975063
cause,319,5.649861115958623
forward,320,5.629205230349554
support,321,5.5890022323025565
information,322,5.588266971549244
understand,323,5.576814166955119
student,324,5.563734828982456
street,325,5.563059653722357
doctor,326,5.52254307194286
dry,327,5.508334226252661
sense,328,5.507309302382871
flip,329,5.502872451855994
garden,330,5.45658955319907
graduate,331,5.450757843871594
perform,332,5.423240185014607
hang,333,5.391936144325522
deal,334,5.391268044098474
thick,335,5.382513950700693
clothe,336,5.363057321201653
mother,337,5.353865233772854
development,338,5.347278256986855
kiss,339,5.345717695614876
description,340,5.324420246678468
film,341,5.323005700770552
send,342,5.311835612513963
head,343,5.2970339845088965
sweet,344,5.269314679572878
speed,345,5.265150522050918
season,346,5.2434601461069565
colleague,347,5.237031962270497
die,348,5.221267128686087
activity,349,5.187064689162975
reporter,350,5.186532555332752
mouth,351,5.18022512348394
sun,352,5.176811921707612
high,353,5.125352706976899
chance,354,5.098016737138319
regime,355,5.08456800047413
spirit,356,5.0673802406569495
today,357,5.062129691976811
join,358,5.033229524329531
ten,359,5.02308101825937
drive,360,4.9740026441093494
class,361,4.97123103705102
beam,362,4.9641336265800025
serious,363,4.945144475122797
internet,364,4.938950388098995
short,365,4.929713963398817
wrong,366,4.921931448933369
shoot,367,4.897851335064319
store,368,4.886276753112963
simple,369,4.8745246707021606
suffer,370,4.871296647698162
president,371,4.868484101861775
mode,372,4.86841828564882
level,373,4.859320417844248
status,374,4.8492253940081165
system,375,4.84019631418027
current,376,4.826183672011396
line,377,4.820182342038923
train,378,4.814742456054215
invitation,379,4.808255563125411
care,380,4.802083650030019
response,381,4.796272584295102
personal,382,4.794501181916004
rock,383,4.788333604071534
worried,384,4.775831610472172
football,385,4.771920907988683
updated,386,4.770494430743657
include,387,4.747005872363473
measure,388,4.7397954042565384
ethnicity,389,4.7213928760231845
severe,390,4.6821262209351895
group,391,4.6784049379180015
trip,392,4.676185040369268
outside,393,4.672885151995354
principle,394,4.642496243234737
main,395,4.634742897157144
funny,396,4.629679397486354
battle,397,4.618496810011505
necessary,398,4.60237518607899
discard,399,4.576749041410391
ticket,400,4.535346664260386
culture,401,4.520429379179321
ass,402,4.513893125914622
hand,403,4.513130385964756
meal,404,4.512745442165046
majority,405,4.490005299520751
car,406,4.488524699349752
room,407,4.48638420839031
strong,408,4.48409428768089
creation,409,4.4782526665204685
save,410,4.454131550783602
economic,411,4.445053179921565
gate,412,4.429989751230122
straight,413,4.424434573050035
police,414,4.4125431553142045
poor,415,4.404060150172118
beat,416,4.397994770608295
earth,417,4.395135780538853
open,418,4.389915888203847
sister,419,4.375601795002455
tragedy,420,4.373352377423005
lonely,421,4.357221351518002
order,422,4.356473125252686
education,423,4.342021420301059
terrace,424,4.329174872542758
number,425,4.324766581912033
field,426,4.319624998182466
bring,427,4.281808963571934
front,428,4.272970056645221
encounter,429,4.26714968899129
laugh,430,4.2594048432021765
television,431,4.247784837078875
noodle,432,4.233884739603368
contact,433,4.233758639031185
release,434,4.229085521539031
human,435,4.219901093113887
recommend,436,4.2040034382138405
station,437,4.159396594367161
march,438,4.15475262207617
abroad,439,4.147635858174211
fine,440,4.138616093713243
necessity,441,4.134380616789678
worthy,442,4.132664156216789
accept,443,4.131032955799256
sky,444,4.118603540621182
hell,445,4.114627685406009
circle,446,4.086386173396629
wow,447,4.063210170954333
cuisine,448,4.059751643214941
easy,449,4.058867557912758
dormitory,450,4.0462886878961095
learn,451,4.045464004374756
voice,452,4.028447134589839
everyday,453,4.021151349429101
handling,454,4.020884021137278
daughter,455,4.008017892961797
rare,456,3.996856082223694
content,457,3.9658733753276807
act,458,3.9653739432589843
municipality,459,3.9642806720312045
soul,460,3.964002713158014
se,461,3.956315186835888
noon,462,3.943163615073792
brain,463,3.9279964489763333
birthday,464,3.9252408281509306
provide,465,3.9177138056945653
important,466,3.9020438243379862
journey,467,3.896601029373972
cinema,468,3.8961390546189874
ordinary,469,3.884208828779495
list,470,3.884100399320447
