lemma,classification
I,en
one,zh
in,en
it,da
be,en
who,ro
there,da
will,el
do,en
man,sv
not,pl
like,pl
go,pt
by,es
more,ro
so,en
at,en
equal,id
get,en
up,en
out,en
we,en
fun,nl
ben,nl
have,da
well,nl
as,no
become,sv
people,zh
create,id
still,nl
someone,da
can,da
also,zh
must,da
le,es
just,en
don,en
again,id
slightly,no
then,nl
stay,pt
yet,nl
china,zh
on,en
tau,id
got,pl
beautiful,nl
good,pt
want,id
another,es
big,zh
thus,pt
few,da
six,it
net,nl
neither,pt
quite,de
already,pl
about,en
a,en
pass,es
think,da
completely,da
let,zh
ukraine,uk
god,id
cave,id
its,fi
islam,ms
mine,da
great,en
day,pt
make,pt
enough,da
now,de
pro,pt
tone,fr
simple,de
come,da
sit,nl
he,en
off,en
same,pt
france,fr
an,en
grand,fr
some,en
look,en
heart,id
love,en
through,ro
greece,el
taste,id
all,es
over,da
italy,it
back,en
keep,en
russia,ru
tell,en
way,en
right,en
malaysia,ms
know,en
may,en
bit,nl
wow,id
any,sv
forgive,id
multiple,no
self,id
swedish,sv
became,no
enter,id
sweden,sv
give,de
mas,id
madrid,es
before,de
thing,pt
entire,nl
lot,en
distant,id
house,pt
shot,fr
sick,id
guy,en
cat,ro
indonesia,id
denmark,da
bad,es
down,en
natural,nl
des,ca
brazil,pt
kid,en
paris,fr
say,zh
van,ca
allow,id
pm,de
putin,ro
hold,sv
danish,da
vs,de
berlin,de
after,de
certainly,nl
inside,el
method,zh
probably,de
reverse,id
loud,ro
norway,no
comparison,zh
bang,id
congratulation,id
own,id
apparently,id
counter,es
patience,id
indeed,id
lesson,pt
moscow,ru
ill,pt
set,en
whole,sv
folk,de
believe,sv
ever,en
kind,ro
leave,pt
speak,pt
norwegian,no
state,it
truth,es
sm,id
path,de
total,ru
directly,id
even,da
crowded,ms
rich,id
work,ru
no,en
belle,fr
port,pt
strip,zh
lie,de
spirit,id
catalonia,ca
child,id
kiss,pt
pretty,en
macedonia,mk
milan,it
romania,ro
rome,it
lecture,id
once,ru
remain,nl
here,sv
french,fr
turn,en
portugal,pt
gladly,nl
many,nl
little,en
home,sv
bathe,id
such,pl
both,es
however,pl
push,zh
talk,en
locate,sv
lovely,nl
fortunately,nl
spain,es
old,id
mak,ms
ask,id
worker,id
giving,id
russian,ru
tonight,en
community,id
visible,id
manage,pt
but,nl
din,sv
till,ro
only,de
call,en
feast,pt
america,zh
very,pt
head,ca
none,da
too,en
movie,en
boyfriend,id
telephone,zh
feel,en
enchant,es
true,pt
oblige,pt
pancake,ru
classmate,zh
morning,de
therefore,sv
