lemma,classification
I,en
one,zh
also,zh
people,zh
he,en
say,zh
then,nl
let,zh
more,ro
two,zh
big,zh
but,nl
year,pl
only,de
after,de
small,fr
already,pl
now,de
so,en
time,pt
china,zh
eat,id
too,en
problem,zh
it,da
will,el
three,zh
like,pl
home,sv
life,pt
first,it
actually,de
point,zh
friend,pt
work,ru
possible,zh
before,de
feel,en
some,en
today,de
just,en
need,en
find,da
last,en
or,en
though,fi
buy,zh
thing,pt
child,id
love,en
company,zh
ratio,zh
ask,id
new,de
world,es
place,ro
hope,en
very,pt
here,sv
comparison,zh
month,id
who,ro
write,da
national,zh
america,zh
why,el
result,id
money,zh
together,da
all,fr
social,es
teacher,zh
ben,nl
government,ms
later,zh
strip,zh
other,id
different,fi
fight,zh
dialect,zh
listen,es
hour,id
even,da
woman,de
past,es
high,id
choice,zh
important,id
four,zh
any,sv
telephone,zh
completely,da
see,es
man,sv
always,de
night,pt
sing,zh
finally,de
second,it
become,sv
university,zh
must,da
bring,en
chang,zh
book,en
decision,uk
old,id
maybe,lt
economy,zh
student,id
situation,zh
relationship,da
back,en
half,zh
story,en
inside,el
hand,id
oh,en
open,id
school,en
special,id
except,el
chance,zh
none,da
demand,zh
heart,id
simple,de
recent,zh
film,ru
less,es
development,uk
please,en
get,en
through,ro
car,ru
laugh,pt
political,ms
hard,en
many,nl
classmate,zh
method,zh
generally,zh
inner,zh
japan,zh
minute,it
leave,pt
study,id
long,sv
road,id
afraid,zh
easy,da
happy,en
history,fr
reason,ms
use,en
day,pt
impact,zh
effort,id
head,ca
natural,nl
five,zh
directly,id
personal,pt
dead,id
drink,id
happiness,de
body,id
beautiful,nl
freedom,zh
forever,zh
culture,id
successful,id
existence,zh
joy,da
main,ru
activity,uk
spirit,id
flower,zh
mood,ru
change,es
ability,uk
dare,zh
education,id
partially,zh
doctor,zh
city,ru
accept,ms
almost,pt
face,id
water,id
photo,nl
raw,zh
yuan,zh
market,id
research,fr
straight,ru
word,id
solve,zh
include,id
system,uk
yesterday,sv
wear,ms
beijing,zh
parent,en
morning,de
sleep,pt
sound,da
want,id
game,en
ten,zh
plan,ru
article,fr
eye,id
afternoon,id
representative,zh
name,id
clothe,zh
week,nl
habit,zh
party,es
environment,zh
complete,id
technology,zh
computer,zh
hubby,zh
service,fr
basic,id
end,pt
about,en
daughter,fr
read,en
understand,ru
worried,zh
double,zh
hair,zh
boss,zh
learn,en
shanghai,zh
hospital,zh
sir,zh
own,id
gang,zh
future,ro
shoot,zh
currently,ko
design,en
music,pt
family,en
feeling,id
son,pt
likewise,zh
incident,zh
class,id
