lemma,saliency rank,saliency score
I,1,2274.862623195886
one,2,1744.4924620282436
in,3,1571.8709442107793
it,4,1538.6538097948728
be,5,1331.1010453848558
who,6,1290.4707124377408
there,7,1242.6797812979294
will,8,1238.9093943174219
do,9,1189.2593420690562
man,10,1115.2313119137402
not,11,1055.4094615099027
like,12,1049.0395687068092
go,13,1037.7900037807817
by,14,992.031929556337
more,15,961.5276157894066
so,16,938.9130129752643
at,17,921.4849423228528
equal,18,913.2995692401823
get,19,912.221281613112
up,20,894.76672254048
out,21,893.672661763515
we,22,880.3606910861937
fun,23,880.0560816702633
ben,24,856.8240666205127
have,25,856.5174470963995
well,26,848.9031819665953
as,27,832.6341314824979
become,28,830.3102887266703
people,29,820.1629300898578
create,30,814.5193888315036
still,31,814.024459171777
someone,32,783.6506907033813
can,33,758.270144105314
also,34,738.3086320129362
must,35,735.84089522294
le,36,735.5499466735935
just,37,726.4172570058322
don,38,725.9602764078472
again,39,713.3752023926584
slightly,40,664.6432076475172
then,41,663.6812310442793
stay,42,643.2277537736688
yet,43,632.9117209112698
china,44,620.1772980284123
on,45,610.5607914544448
tau,46,604.7218175815459
got,47,599.5174302742824
beautiful,48,564.3206263142453
good,49,563.1894047426631
want,50,561.9903038414066
another,51,561.0663349396234
big,52,560.6374143484153
thus,53,558.2338650397068
few,54,549.6253907383383
six,55,549.2628992484846
net,56,548.6363571735033
neither,57,545.7151433736371
quite,58,541.7740828795634
already,59,535.4327635467005
about,60,528.5289209807815
a,61,521.6535518802496
pass,62,520.7557701563898
think,63,518.667930805412
completely,64,511.89516536271145
let,65,510.27492035091234
ukraine,66,509.58300815571533
god,67,507.3571950864256
cave,68,506.6741710169377
its,69,500.1807067781004
islam,70,498.53129904600826
mine,71,489.329729214633
great,72,485.94859809705855
day,73,480.55215149196727
make,74,475.08137962240284
enough,75,471.19352719042377
now,76,469.6185163654929
pro,77,460.25156287845675
tone,78,456.738148456954
simple,79,455.1971955784919
come,80,452.44107020010705
sit,81,449.96729800876255
he,82,448.1165079230701
off,83,447.14643547221556
same,84,445.58010185455976
france,85,443.3054629719502
an,86,443.08188029703143
grand,87,442.51898876095
some,88,441.7159617251959
look,89,440.61579582332763
heart,90,439.43650728656473
love,91,437.44612010949385
through,92,437.2098497942312
greece,93,430.605303962647
taste,94,430.07650671689646
all,95,429.00041165920663
over,96,423.29008698030765
italy,97,423.13146786770295
back,98,423.02171111864595
keep,99,422.94783301956437
russia,100,421.7128233996757
tell,101,416.54545573533346
way,102,411.44999972928554
right,103,410.6582313940289
malaysia,104,407.16342024107684
know,105,406.123784283719
may,106,405.34808993048085
bit,107,403.90890263266897
wow,108,402.93925306722156
any,109,402.8232816671365
forgive,110,402.72887149326596
multiple,111,401.10484956113544
self,112,400.63246994538645
swedish,113,400.55126522049557
became,114,400.20972809710213
enter,115,400.1413519074742
sweden,116,397.5644291926461
give,117,396.92645419327727
mas,118,396.1625181999791
madrid,119,396.16013622563855
before,120,394.1220829726307
thing,121,394.0395819400803
entire,122,393.8049986696585
lot,123,392.94012671446933
distant,124,392.7442757756034
house,125,392.1753709283081
shot,126,391.84311581655163
sick,127,391.40022521954523
guy,128,391.29432646477625
cat,129,390.5859245800707
indonesia,130,385.51596123835907
denmark,131,384.2514814876112
bad,132,382.9999216788808
down,133,382.5599460721061
natural,134,381.32729073792916
des,135,379.1135635871418
brazil,136,377.69042759617537
kid,137,377.2071142259155
paris,138,375.11709726223705
say,139,375.0019160011871
van,140,374.11341484092765
allow,141,373.66047405097083
pm,142,373.5736798892725
putin,143,373.2988847907316
hold,144,370.568662796096
danish,145,368.89485156958074
vs,146,368.85187097227407
berlin,147,366.3328851816326
after,148,365.564916620349
certainly,149,365.4437331236589
inside,150,365.2202407885448
method,151,364.58825988478856
probably,152,364.152815421136
reverse,153,363.9791579326522
loud,154,361.35163329876167
norway,155,360.4756374441652
comparison,156,359.84303466061886
bang,157,359.56610587960904
congratulation,158,359.1429685116954
own,159,359.13087563826156
apparently,160,357.31503638435197
counter,161,354.6205465633267
patience,162,353.9328179317284
indeed,163,352.720670429317
lesson,164,351.7617976074135
moscow,165,351.4628263113084
ill,166,351.41723377431214
set,167,351.2088767256493
whole,168,350.2185494843974
folk,169,349.94038988320494
believe,170,347.746888935694
ever,171,346.8356777877652
kind,172,346.7654573290352
leave,173,346.33885554541655
speak,174,346.28296983327584
norwegian,175,345.88716392017113
state,176,345.8443532422182
truth,177,345.76330443133185
sm,178,345.4037421550503
path,179,345.11238008607256
total,180,344.77397985528256
directly,181,341.8173323139386
even,182,340.63308037834486
crowded,183,340.6240884623837
rich,184,340.3272877331976
work,185,339.77281571349346
no,186,338.6769737266957
belle,187,337.6957032941472
port,188,337.30711728538375
strip,189,336.82264256481335
lie,190,336.72213435365506
spirit,191,336.71999648588496
catalonia,192,336.39791238514874
child,193,334.64914684677035
kiss,194,334.2878861587191
pretty,195,333.87751627485585
macedonia,196,333.69646643578625
milan,197,332.2114560542823
romania,198,331.6111026758261
rome,199,331.08190567997974
lecture,200,330.7131723013584
once,201,330.2940969326387
remain,202,330.2614837751251
here,203,329.7799204805824
french,204,327.3132305568852
turn,205,327.29230054594933
portugal,206,326.8993511488671
gladly,207,326.6936979519608
many,208,326.4638118540236
little,209,325.49415647316454
home,210,325.08902505498173
bathe,211,324.8078039746051
such,212,324.7469023596565
both,213,324.63920324308714
however,214,324.2019748525338
push,215,323.7780733183615
talk,216,323.5086873863093
locate,217,323.3280038419785
lovely,218,322.9448959786116
fortunately,219,322.92613730825497
spain,220,322.3879823730467
old,221,322.00232489707906
mak,222,321.78601021436106
ask,223,321.6834039463645
worker,224,321.5131654606021
giving,225,321.4313276356281
russian,226,320.96040054026406
tonight,227,319.945468218981
community,228,319.6968529263128
visible,229,319.34319976325867
manage,230,318.05596962264224
but,231,318.036573299626
din,232,317.77987214637517
till,233,316.05551413205745
only,234,315.87738692560526
call,235,315.6723818860936
feast,236,315.0813754318689
america,237,314.49974703590107
very,238,313.91187144106175
head,239,313.53590417363966
none,240,313.4821257159027
too,241,311.3772327020797
movie,242,310.9122921614343
boyfriend,243,310.64859780029263
telephone,244,309.99830333359716
feel,245,308.96125082661797
enchant,246,308.07415939703736
true,247,307.9012621275669
oblige,248,307.8858684792241
pancake,249,306.6840258182309
classmate,250,306.62657009294026
morning,251,306.16734200172067
therefore,252,306.1190242378395
eat,253,306.0417801196787
portuguese,254,305.5293047240243
carry,255,305.0595878098322
re,256,304.28917612770954
always,257,304.2776617343231
answer,258,304.14011435487373
beijing,259,303.33111128312356
recent,260,302.97166687558524
replace,261,302.8124492774431
exit,262,302.80411922031897
oslo,263,302.75163998016535
legal,264,302.1969609793505
catalan,265,301.5251297717633
delete,266,300.73966332847874
catch,267,300.65751535136815
follow,268,300.5137294382343
watch,269,299.7634209875904
night,270,299.5914742732883
malay,271,299.4045574921047
between,272,298.6325833662921
netherlands,273,298.46212635759144
greek,274,297.58677453903056
increasingly,275,297.3093445471733
why,276,296.9101428020497
